Time,Open,High,Low,Last,Change,%Chg,Volume
06/18/2024,105.27,105.56,105.12,105.26,-0.06,-0.06%,0
06/17/2024,105.51,105.65,105.27,105.32,-0.2,-0.19%,0
06/14/2024,105.25,105.81,105.18,105.52,0.32,+0.30%,0
06/13/2024,104.7,105.28,104.64,105.2,0.56,+0.54%,0
06/12/2024,105.27,105.32,104.26,104.64,-0.59,-0.56%,0
06/11/2024,105.14,105.46,105.1,105.23,0.08,+0.08%,0
06/10/2024,105.08,105.39,105.04,105.15,0.22,+0.21%,0
06/07/2024,104.11,104.95,104,104.93,0.83,+0.80%,0
06/06/2024,104.25,104.37,104.05,104.1,-0.17,-0.16%,0
06/05/2024,104.15,104.46,104.12,104.27,0.16,+0.15%,0
06/04/2024,104.05,104.33,103.99,104.11,-0.03,-0.03%,0
06/03/2024,104.63,104.77,104.04,104.14,-0.48,-0.46%,0
05/31/2024,104.78,104.9,104.36,104.62,-0.1,-0.10%,0
05/30/2024,105.13,105.18,104.63,104.72,-0.41,-0.39%,0
05/29/2024,104.67,105.14,104.59,105.13,0.52,+0.50%,0
05/28/2024,104.56,104.67,104.33,104.61,0.01,+0.01%,0
05/27/2024,104.75,104.75,104.56,104.6,-0.15,-0.14%,0
05/24/2024,105.06,105.12,104.64,104.75,-0.36,-0.34%,0
05/23/2024,104.91,105.11,104.62,105.11,0.18,+0.17%,0
05/22/2024,104.65,104.97,104.56,104.93,0.27,+0.26%,0
05/21/2024,104.6,104.77,104.48,104.66,0.09,+0.09%,0
05/20/2024,104.5,104.65,104.39,104.57,0.07,+0.07%,0
05/17/2024,104.5,104.8,104.39,104.5,0.04,+0.04%,0
05/16/2024,104.21,104.63,104.08,104.46,0.11,+0.11%,0
05/15/2024,105.06,105.06,104.19,104.35,-0.66,-0.63%,0
05/14/2024,105.2,105.46,104.96,105.01,-0.21,-0.20%,0
05/13/2024,105.31,105.37,105.06,105.22,-0.09,-0.09%,0
05/10/2024,105.22,105.4,105.14,105.31,0.08,+0.08%,0
05/09/2024,105.52,105.74,105.2,105.23,-0.32,-0.30%,0
05/08/2024,105.43,105.64,105.39,105.55,0.14,+0.13%,0
05/07/2024,105.15,105.45,105.03,105.41,0.36,+0.34%,0
05/06/2024,105.05,105.2,104.87,105.05,-0.03,-0.03%,0
05/03/2024,105.3,105.37,104.52,105.08,-0.22,-0.21%,0
05/02/2024,105.71,105.9,105.28,105.3,-0.45,-0.43%,0
05/01/2024,106.33,106.49,105.43,105.75,-0.47,-0.44%,0
04/30/2024,105.7,106.35,105.67,106.22,0.64,+0.61%,0
04/29/2024,106.04,106.08,105.46,105.58,-0.51,-0.48%,0
