Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/08/2024,1155,1155,1155,1155,-17.,-1.45%,0,0
07/05/2024,1172,1172,1172,1172,9,+0.77%,0,0
07/03/2024,1163,1163,1163,1163,9,+0.78%,0,0
07/02/2024,1154,1154,1154,1154,-1.,-0.09%,0,0
07/01/2024,1155,1155,1155,1155,21,+1.85%,0,0
06/28/2024,1134,1134,1134,1134,-2.,-0.18%,0,0
06/27/2024,1136,1136,1136,1136,-11.,-0.96%,0,0
06/26/2024,1147,1147,1147,1147,0,0.00%,0,0
06/25/2024,1147,1147,1147,1147,-12.,-1.04%,0,0
06/24/2024,1159,1159,1159,1159,15,+1.31%,0,0
06/21/2024,1144,1144,1144,1144,5,+0.44%,0,0
06/20/2024,1139,1139,1139,1139,-19.,-1.64%,0,0
06/18/2024,1158,1158,1158,1158,16,+1.40%,0,0
06/17/2024,1142,1142,1142,1142,-17.,-1.47%,0,0
06/14/2024,1159,1159,1159,1159,-10.,-0.86%,0,0
06/13/2024,1169,1169,1169,1169,15,+1.30%,0,0
06/12/2024,1154,1154,1154,1154,-1.,-0.09%,0,0
06/11/2024,1155,1155,1155,1155,-10.,-0.86%,0,0
06/10/2024,1165,1165,1165,1165,10,+0.87%,0,0
06/07/2024,1155,1155,1155,1155,-21.,-1.79%,0,0
06/06/2024,1176,1176,1176,1176,26,+2.26%,0,0
06/05/2024,1150,1150,1150,1150,-2.,-0.17%,0,0
06/04/2024,1152,1152,1152,1152,-4.,-0.35%,0,0
06/03/2024,1156,1156,1156,1156,-23.,-1.95%,0,0
05/31/2024,1179,1179,1179,1179,-4.,-0.34%,0,0
05/30/2024,1183,1183,1183,1183,-5.,-0.42%,0,0
05/29/2024,1188,1188,1188,1188,-15.,-1.25%,0,0
05/28/2024,1203,1203,1203,1203,-18.,-1.47%,0,0
05/24/2024,1221,1221,1221,1221,9,+0.74%,0,0
05/23/2024,1212,1212,1212,1212,-7.,-0.57%,0,0
05/22/2024,1219,1219,1219,1219,10,+0.83%,0,0
05/21/2024,1209,1209,1209,1209,-12.,-0.98%,0,0
05/20/2024,1221,1221,1221,1221,20,+1.67%,0,0
05/17/2024,1201,1201,1201,1201,12,+1.01%,0,0
05/16/2024,1189,1189,1189,1189,3,+0.25%,0,0
05/15/2024,1186,1186,1186,1186,-1.,-0.08%,0,0
05/14/2024,1187,1187,1187,1187,0,0.00%,0,0
05/13/2024,1187,1187,1187,1187,1,+0.08%,0,0
05/10/2024,1186,1186,1186,1186,10,+0.85%,0,0
05/09/2024,1176,1176,1176,1176,-19.,-1.59%,0,0
05/08/2024,1195,1195,1195,1195,-19.,-1.57%,0,0
05/07/2024,1214,1214,1214,1214,-3.,-0.25%,0,0
05/06/2024,1217,1217,1217,1217,31,+2.61%,0,0
05/03/2024,1186,1186,1186,1186,17,+1.45%,0,0
05/02/2024,1169,1169,1169,1169,31,+2.72%,0,0
05/01/2024,1138,1138,1138,1138,7,+0.62%,0,0
04/30/2024,1131,1131,1131,1131,-9.,-0.79%,0,0
04/29/2024,1140,1140,1140,1140,1,+0.09%,0,0
04/26/2024,1139,1139,1139,1139,-3.,-0.26%,0,0
04/25/2024,1142,1142,1142,1142,-3.,-0.26%,0,0
04/24/2024,1145,1145,1145,1145,-1.,-0.09%,0,0
04/23/2024,1146,1146,1146,1146,6,+0.53%,0,0
04/22/2024,1140,1140,1140,1140,12,+1.06%,0,0
04/19/2024,1128,1128,1128,1128,16,+1.44%,0,0
04/18/2024,1112,1112,1112,1112,-16.,-1.42%,0,0
04/17/2024,1128,1128,1128,1128,4,+0.36%,0,0
04/16/2024,1124,1124,1124,1124,-13.,-1.14%,0,0
04/15/2024,1137,1137,1137,1137,-15.,-1.30%,0,0
04/12/2024,1152,1152,1152,1152,15,+1.32%,0,0
04/11/2024,1137,1137,1137,1137,-6.,-0.52%,0,0
04/10/2024,1143,1143,1143,1143,-10.,-0.87%,0,0
04/09/2024,1153,1153,1153,1153,-6.,-0.52%,0,0
04/08/2024,1159,1159,1159,1159,-4.,-0.34%,0,0
04/05/2024,1163,1163,1163,1163,5,+0.43%,0,0
04/04/2024,1158,1158,1158,1158,-2.,-0.17%,0,0
04/03/2024,1160,1160,1160,1160,11,+0.96%,0,0
04/02/2024,1149,1149,1149,1149,-11.,-0.95%,0,0
04/01/2024,1160,1160,1160,1160,-1.,-0.09%,0,0
03/28/2024,1161,1161,1161,1161,-1.,-0.09%,0,0
03/27/2024,1162,1162,1162,1162,-7.,-0.60%,0,0
03/26/2024,1169,1169,1169,1169,-9.,-0.76%,0,0
03/25/2024,1178,1178,1178,1178,16,+1.38%,0,0
03/22/2024,1162,1162,1162,1162,-20.,-1.69%,0,0
03/21/2024,1182,1182,1182,1182,2,+0.17%,0,0
03/20/2024,1180,1180,1180,1180,24,+2.08%,0,0
03/19/2024,1156,1156,1156,1156,0,0.00%,0,0
03/18/2024,1156,1156,1156,1156,-10.,-0.86%,0,0
03/15/2024,1166,1166,1166,1166,3,+0.26%,0,0
03/14/2024,1163,1163,1163,1163,-1.,-0.09%,0,0
03/13/2024,1164,1164,1164,1164,0,0.00%,0,0
03/12/2024,1164,1164,1164,1164,17,+1.48%,0,0
03/11/2024,1147,1147,1147,1147,-4.,-0.35%,0,0
03/08/2024,1151,1151,1151,1151,16,+1.41%,0,0
03/07/2024,1135,1135,1135,1135,17,+1.52%,0,0
03/06/2024,1118,1118,1118,1118,0,0.00%,0,0
03/05/2024,1118,1118,1118,1118,-6.,-0.53%,0,0
03/04/2024,1124,1124,1124,1124,6,+0.54%,0,0
03/01/2024,1118,1118,1118,1118,10,+0.90%,0,0
