Time,Open,High,Low,Last,Change,%Chg,Volume
06/11/2024,312,312,312,312,-1.4,-0.45%,0
06/07/2024,313.4,313.4,313.4,313.4,0.8,+0.26%,0
06/06/2024,312.6,312.6,312.6,312.6,0.2,+0.06%,0
06/05/2024,312.4,312.4,312.4,312.4,0,0.00%,0
06/04/2024,312.4,312.4,312.4,312.4,1.1,+0.35%,0
06/03/2024,311.3,311.3,311.3,311.3,1.3,+0.42%,0
05/31/2024,310,310,310,310,0,0.00%,0
05/30/2024,310,310,310,310,1,+0.32%,0
05/29/2024,309,309,309,309,0,0.00%,0
05/28/2024,309,309,309,309,0,0.00%,0
05/23/2024,309,309,309,309,0,0.00%,0
05/22/2024,309,309,309,309,1,+0.32%,0
05/21/2024,308,308,308,308,9,+3.01%,0
05/16/2024,299,299,299,299,2,+0.67%,0
05/15/2024,297,297,297,297,2,+0.68%,0
05/14/2024,295,295,295,295,1,+0.34%,0
05/13/2024,294,294,294,294,0,0.00%,0
05/10/2024,294,294,294,294,-0.8,-0.27%,0
05/09/2024,294.8,294.8,294.8,294.8,1.2,+0.41%,0
05/07/2024,293.6,293.6,293.6,293.6,0.6,+0.20%,0
05/06/2024,293,293,293,293,-0.1,-0.03%,0
"Downloaded from Barchart.com as of 12-07-2024 02:43pm CST"
